วันที่ลงขาย,ชื่อผู้ขาย,ชื่อพระเครื่อง,ราคา (บาท),ยอดรวมของคนนี้ (บาท)
2026-08-15,,ไม่ทราบ,1.0,
2026-08-15,,สมเด็จ,0.0,
2026-08-15,,สมเด็จ,0.0,
2026-08-15,,สมเด็จ,0.0,
2026-08-15,,สมเด็จ,0.0,
2026-08-15,,สมเด็จ,0.0,
2026-08-15,,สมเด็จ,1000000.0,
2026-08-15,,ครูบาศรีวิชัย,2000000.0,
2026-08-18,,สมเด็จ,0.0,
2026-08-18,non1,สมเด็จ,1000000.0,12011004.0
2026-08-19,non1,สมเด็จ,9999999.0,12011004.0
2026-08-22,non1,สมเด็จ,1000000.0,12011004.0
2026-08-22,non1,สมเด็จ,0.0,12011004.0
2026-08-22,non1,สมเด็จ,5.0,12011004.0
2026-08-22,non1,สมเด็จ,1000.0,12011004.0
2026-08-22,aem1,สมเด็จ,1000000.0,2000000.0
2026-08-22,aem1,สมเด็จ,1000000.0,2000000.0
2026-08-22,non1,สมเด็จ,10000.0,12011004.0
